Cities,Countries,lat,lon,temp,humidity,cloudiness,wind speed,date
Bathsheba,BB,13.2167,-59.5167,24.34,83,40,6.69,1645159829
Kandrian,PG,-6.2167,149.55,30.84,65,100,4.76,1645159991
Pemberton,CA,50.3164,-122.8027,3.92,97,98,1.38,1645159992
Puerto Escondido,MX,15.85,-97.0667,25.81,76,11,2.39,1645159865
Krivosheino,RU,57.3431,83.9261,-7.48,94,100,3.85,1645159993
Marathon,US,44.9,-89.7668,-18.02,69,0,3.09,1645159994
Praxédis Guerrero,MX,31.3667,-106.0167,4.52,46,38,3.55,1645159994
Shingū,JP,33.7333,135.9833,7.73,41,100,2.02,1645159995
Beyneu,KZ,45.3167,55.2,1.47,63,0,6.9,1645159996
Bereda,ES,43.2686,-7.5406,10.03,98,63,3.72,1645159996
Kosa,RU,59.9445,54.9977,-5.02,91,100,5.76,1645159997
Bonavista,CA,48.6499,-53.1147,5.0,87,100,13.05,1645159998
Valley City,US,46.9233,-98.0032,-16.69,85,100,7.2,1645159738
Yabrūd,SY,33.9674,36.6574,-0.19,60,4,0.74,1645159999
Laredo,US,27.5064,-99.5075,14.11,44,0,9.77,1645159999
Cayenne,GF,4.9333,-52.3333,26.16,82,100,3.13,1645159817
Salinas,US,36.6777,-121.6555,10.7,70,0,3.09,1645159846
Durusu,TR,41.3053,28.6767,11.3,86,79,4.02,1645160001
Kumbo,CM,6.2,10.6667,16.14,22,10,1.81,1645160001
Chake Chake,TZ,-5.2459,39.7666,27.63,75,70,1.11,1645160002
Vágur,FO,61.4732,-6.8119,4.01,75,79,9.63,1645160003
Port Hedland,AU,-20.3167,118.5667,39.03,35,13,5.66,1645160003
Antalaha,MG,-14.9003,50.2788,27.02,72,89,2.93,1645160004
Jieshou,CN,33.2634,115.3611,4.19,64,100,3.31,1645160025
Phan Thiet,VN,10.9333,108.1,31.13,57,61,7.08,1645160025
Kuah,MY,6.3265,99.8432,32.99,58,20,1.54,1645160026
Yumen,CN,40.2833,97.2,-6.06,58,98,4.37,1645160026
Province of Trapani,IT,37.8333,12.6667,9.59,81,10,1.69,1645160027
Kuytun,RU,54.3419,101.5036,-14.57,91,100,2.93,1645160028
Vao,NC,-22.6667,167.4833,26.44,82,99,5.41,1645160028
San Cristobal,VE,7.7669,-72.225,21.1,77,96,0.29,1645160029
Xambioá,BR,-6.4111,-48.5364,22.45,97,100,1.31,1645160030
Kargasok,RU,59.0556,80.8572,-6.71,93,98,3.75,1645160030
Qasigiannguit,GL,68.8193,-51.1922,-27.42,95,100,1.95,1645160031
Eyl,SO,7.9803,49.8164,23.53,65,5,7.54,1645159893
Inírida,CO,3.8653,-67.9239,21.96,95,42,0.61,1645160032
Bonnyville,CA,54.2668,-110.735,-11.11,81,100,7.09,1645159855
Jacmel,HT,18.2342,-72.5347,22.91,79,12,0.52,1645160033
Beringovskiy,RU,63.05,179.3167,-21.27,94,100,8.13,1645160034
Pacific Grove,US,36.6177,-121.9166,10.49,81,0,3.09,1645160034
Rundu,NA,-17.9333,19.7667,19.29,71,26,2.02,1645160035
Cerrito,CO,6.8432,-72.694,9.66,87,97,0.88,1645160035
Tarnobrzeg,PL,50.573,21.6794,4.63,74,83,9.72,1645159790
Nishihara,JP,26.1842,127.7558,16.6,82,75,10.8,1645160036
Goderich,CA,43.7501,-81.7165,-4.86,86,100,8.23,1645159835
Mayya,RU,61.7333,130.2811,-30.38,87,97,1.59,1645160037
Conde,BR,-7.2597,-34.9075,24.7,94,0,1.03,1645160038
Sibolga,ID,1.7427,98.7792,30.58,62,26,2.29,1645160038
Port Blair,IN,11.6667,92.75,25.02,88,100,2.06,1645159842
Santa Maria,BR,-29.6842,-53.8069,18.88,73,53,2.78,1645160039
Saint Lawrence,MT,36.0553,14.204,12.7,91,6,0.45,1645160040
Talnakh,RU,69.4865,88.3972,-18.22,96,99,5.73,1645160040
Wewak,PG,-3.5534,143.6268,29.2,70,100,2.93,1645160041
Mamou,GN,10.5,-12.0,19.12,36,0,0.62,1645160042
Lima,PE,-12.0432,-77.0282,20.03,85,40,2.57,1645159803
Fort Morgan,US,40.2503,-103.8,-3.79,54,0,0.0,1645159829
San Miguel,SV,13.4833,-88.1833,24.0,72,80,0.8,1645160043
Santa Cruz de la Sierra,BO,-17.8,-63.1667,22.7,100,100,5.66,1645159838
Ţahţā,EG,26.7693,31.5021,9.18,61,100,3.0,1645160044
Gelibolu,TR,40.4103,26.6708,10.4,91,58,2.88,1645160045
Darnah,LY,32.767,22.6367,12.36,75,2,5.08,1645160046
Cidreira,BR,-30.1811,-50.2056,22.45,85,39,4.61,1645160046
Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,22.9,90,65,0.91,1645160047
Turukhansk,RU,65.8167,87.9833,-13.86,92,100,7.46,1645160047
Coos Bay,US,43.3665,-124.2179,6.39,99,0,3.09,1645159968
Igarka,RU,67.4667,86.5833,-15.07,93,100,9.66,1645160048
Svetlopolyansk,RU,59.4184,52.3605,-3.43,90,100,6.5,1645160049
Bonthe,SL,7.5264,-12.505,24.87,86,9,1.07,1645160049
Gondanglegi,ID,-7.7479,112.0132,29.41,75,74,4.51,1645160050
Calama,CL,-22.4667,-68.9333,12.27,47,0,1.03,1645160035
Gwadar,PK,25.1216,62.3254,21.44,64,0,1.52,1645160051
Flin Flon,CA,54.7682,-101.865,-22.0,96,100,1.85,1645160052
Resende,BR,-22.4689,-44.4467,19.62,98,100,0.2,1645160053
Kostomuksha,RU,64.571,30.5767,-0.04,99,100,3.86,1645160073
Carutapera,BR,-1.195,-46.02,24.17,88,99,1.87,1645160074
Mīnāb,IR,27.1467,57.0801,18.18,88,0,0.0,1645160074
Bandundu Province,CD,-3.3167,17.3667,22.03,96,97,1.61,1645160075
Moree,AU,-29.4667,149.85,37.01,19,10,4.63,1645160076
Narsaq,GL,60.9167,-46.05,-14.79,70,100,4.29,1645160076
Lumding,IN,25.7535,93.1732,23.05,34,1,0.98,1645160077
Mitchell,US,43.7094,-98.0298,-7.37,38,51,5.79,1645160078
Shalyhyne,UA,51.5717,34.1217,1.88,98,100,5.52,1645160079
Puerto Madero,MX,14.7208,-92.4215,25.25,70,9,3.75,1645160079
Bela,IN,25.9333,81.9833,22.47,33,0,2.24,1645160080
Caravelas,BR,-17.7125,-39.2481,24.25,91,100,2.38,1645160081
Suez,EG,29.9737,32.5263,11.65,85,23,4.03,1645160081
Laas,IT,46.6166,10.7002,0.39,54,18,2.21,1645160082
Tazovsky,RU,67.4667,78.7,-11.63,94,100,5.01,1645160082
Myitkyina,MM,25.3833,97.4,27.6,24,0,0.67,1645160083
Acapulco de Juárez,MX,16.8634,-99.8901,24.8,81,5,2.4,1645159876
Nuuk,GL,64.1835,-51.7216,-24.45,92,99,3.4,1645159814
Berlevåg,NO,70.8578,29.0864,-1.1,61,100,13.42,1645159878
Puerto del Rosario,ES,28.5004,-13.8627,14.86,82,99,4.12,1645160085
Yeppoon,AU,-23.1333,150.7333,32.88,65,79,6.15,1645160085
Rio Grande,BR,-32.035,-52.0986,18.86,80,62,3.57,1645159951
Pervomayskoye,RU,43.919,46.7102,5.69,87,83,4.83,1645160086
Pitimbu,BR,-7.4706,-34.8086,25.33,71,13,2.62,1645160087
Ankang,CN,32.68,109.0172,5.34,53,99,1.69,1645160087
Poum,NC,-20.2333,164.0167,28.16,76,37,6.29,1645160088
Solyanka,RU,46.3889,48.0176,-1.03,93,0,4.0,1645160089
Benbrook,US,32.6732,-97.4606,-0.5,72,40,6.69,1645160089
Guanambi,BR,-14.2233,-42.7814,20.51,89,67,1.6,1645160090
Buraidah,SA,26.326,43.975,12.25,28,28,5.11,1645160091
Nokaneng,BW,-19.6667,22.2667,20.28,63,13,2.62,1645160091
Omaha,US,41.2586,-95.9378,-7.98,47,0,3.6,1645160092
Ségou,ML,13.4317,-6.2157,21.65,18,80,4.6,1645160093
Faya,SA,18.3851,42.4509,11.29,49,1,2.5,1645160093
Beidao,CN,34.5686,105.8933,-0.3,93,100,3.73,1645160094
Chizhou,CN,30.6578,117.4831,2.93,99,100,1.92,1645160095
Orlik,RU,52.5178,99.825,-20.8,82,68,0.59,1645160095
Nador,MA,35.174,-2.9287,11.14,93,40,1.54,1645160096
Kumul,CN,42.8,93.45,-4.53,30,2,0.92,1645160096
Worland,US,44.0169,-107.9554,-3.16,74,23,0.89,1645160097
Novikovo,RU,51.1537,37.8879,1.33,98,100,6.74,1645160097
Vila Franca do Campo,PT,37.7167,-25.4333,10.11,66,94,9.2,1645159930
Sabha,LY,27.0377,14.4283,7.2,85,0,3.36,1645160098
Greytown,ZA,-29.0642,30.5928,15.95,94,98,0.6,1645160099
Ixtapa,MX,20.7,-105.2,21.79,89,1,0.45,1645160100
Te Anau,NZ,-45.4167,167.7167,19.08,55,100,5.37,1645160100
Meulaboh,ID,4.1363,96.1285,30.03,66,28,4.23,1645160101
Guilin,CN,25.2819,110.2864,7.06,89,100,4.47,1645160101
Hervey Bay,AU,-25.2986,152.8535,30.02,64,6,5.46,1645160102
Khani,GE,41.9563,42.9566,1.76,74,100,3.46,1645160103
Carbonia,IT,39.1672,8.5222,12.31,96,63,4.32,1645160124
Pécsvárad,HU,46.1603,18.4232,3.88,79,6,2.34,1645160124
Bānswāda,IN,18.3833,77.8833,27.48,42,39,5.46,1645160125
Chara,RU,56.9064,118.2631,-23.01,94,92,0.72,1645160125
Zlobin,HR,45.2924,14.6541,2.96,93,0,1.54,1645160126
Verāval,IN,20.9,70.3667,26.06,34,0,3.81,1645160127
Ejido,VE,8.5514,-71.2375,19.94,88,92,0.83,1645160127
Sorong,ID,-0.8833,131.25,27.58,80,96,2.08,1645160128
Zambezi,ZM,-13.5432,23.1047,17.61,97,100,0.83,1645160129
Willmar,US,45.1219,-95.0433,-14.55,66,100,4.12,1645160130
Banda Aceh,ID,5.5577,95.3222,29.73,68,36,0.97,1645160130
Pisco,PE,-13.7,-76.2167,21.03,78,0,2.57,1645160098
Gualaquiza,EC,-3.4,-78.55,17.45,99,92,0.25,1645160131
Riyadh,SA,24.6877,46.7219,12.08,32,10,6.66,1645160063
Chicama,PE,-7.8447,-79.1469,22.05,77,99,2.21,1645160132
Pochutla,MX,15.7432,-96.4661,26.01,78,0,1.48,1645160133
Tautira,PF,-17.7333,-149.15,27.01,74,44,5.99,1645160134
Tiring,PH,10.8527,122.511,30.03,58,98,6.89,1645160134
Española,US,35.9911,-106.0806,-3.27,83,21,0.51,1645160135
Bilibino,RU,68.0546,166.4372,-25.7,99,15,2.08,1645160135
Jalu,LY,29.0331,21.5482,9.58,80,3,4.95,1645160136
Hollins,US,37.3413,-79.9431,15.76,93,100,2.57,1645160137
Khryashchevka,RU,53.8119,49.0916,-8.01,86,91,8.05,1645160138
Whitehorse,CA,60.7161,-135.0538,-7.74,83,100,1.54,1645159857
Ayan,RU,56.45,138.1667,-9.73,59,100,0.1,1645160138
Samarai,PG,-10.6167,150.6667,28.55,78,49,3.09,1645160139
Menomonie,US,44.8755,-91.9193,-19.12,60,17,0.0,1645160140
Strezhevoy,RU,60.7333,77.5889,-4.01,96,95,2.89,1645160140
Igrim,RU,63.1906,64.4162,-9.22,94,56,3.32,1645160141
Keti Bandar,PK,24.1447,67.4497,24.56,47,0,4.67,1645160141
Muroto-misakicho,JP,33.2833,134.15,9.02,44,100,1.6,1645160142
Horsham,GB,51.064,-0.3272,10.37,91,75,8.75,1645160143
Kearney,US,40.6995,-99.0815,-4.61,31,0,6.17,1645160060
Rovaniemi,FI,66.5,25.7167,-4.33,86,100,8.75,1645160143
Hamilton,US,39.1834,-84.5333,-0.6,91,100,3.13,1645160098
Derzhavīnsk,KZ,51.1,66.3167,-12.93,83,40,4.47,1645160144
Xingyi,CN,24.1877,102.817,20.73,32,2,7.77,1645160145
Lobito,AO,-12.3481,13.5456,25.09,77,99,0.8,1645160146
Asău,RO,46.4333,26.4,2.45,74,62,2.78,1645160146
Kilindoni,TZ,-7.9139,39.6668,27.43,80,78,1.16,1645160147
Betioky,MG,-23.7167,44.3833,27.95,48,41,3.44,1645160147
Shenjiamen,CN,29.9576,122.298,8.06,82,100,4.91,1645160148
Kiryat Gat,IL,31.61,34.7642,10.78,81,51,1.46,1645160148
Yagodnoye,RU,62.55,149.6667,-24.73,98,89,1.32,1645160149
Suileng,CN,47.25,127.0833,-10.43,85,100,1.92,1645160150
Brae,GB,60.3964,-1.353,3.95,63,63,6.1,1645160150
Port Lincoln,AU,-34.7333,135.8667,20.07,60,37,6.6,1645160151
Santiago,CL,-33.4569,-70.6483,21.05,40,0,2.57,1645159927
Ilhéus,BR,-14.7889,-39.0494,23.87,88,89,1.36,1645160152
Najrān,SA,17.4924,44.1277,12.36,30,3,0.18,1645160152
Athikia,GR,37.8167,22.9333,4.79,86,48,2.06,1645160173
Northam,GB,51.0333,-4.2167,9.6,89,100,13.19,1645160173
Booué,GA,-0.0921,11.9385,23.33,91,99,0.45,1645160174
Bitung,ID,1.4451,125.1824,28.47,80,100,2.31,1645160174
Montepulciano,IT,43.1017,11.7868,3.99,90,5,1.46,1645160175
Mbandaka,CD,0.0487,18.2603,22.35,83,92,1.44,1645160176
Okha,RU,53.5739,142.9478,-7.61,93,100,6.72,1645160176
Åmot,NO,59.5714,7.9877,-1.24,78,17,4.48,1645160177
Pravokumskoye,RU,44.7694,44.6472,2.23,92,100,3.5,1645160177
Ola,RU,59.5833,151.2833,-15.8,76,79,5.25,1645160178
Rio de Janeiro,BR,-22.9028,-43.2075,23.0,94,75,1.54,1645160108
Wakkanai,JP,45.4094,141.6739,-4.01,74,75,9.26,1645160179
Zăvoi,RO,45.5167,22.4167,2.8,89,80,1.87,1645160179
Zabid,YE,14.1951,43.3152,24.89,72,12,1.87,1645160180
